scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat1,Metro,908064.4159917594,911697.7486976217,-3633.3327058623545,-0.39852382119541724
hurricane_cat1,East,505220.4691113416,508455.6265795147,-3235.157468173129,-0.6362713477942405
hurricane_cat1,South,377936.703839069,380055.00612035504,-2118.3022812860436,-0.5573672882012305
hurricane_cat1,West,453300.6265873576,454813.2135112273,-1512.586923869676,-0.33257321443945626
hurricane_cat1,Central Mountains,366248.11883954593,367656.2594499778,-1408.1406104318448,-0.38300466107620623
hurricane_cat1,North,350802.76710580953,352053.00864563696,-1250.2415398274316,-0.3551287758162228
hurricane_cat2,Metro,904337.3136539182,911697.7486976217,-7360.435043703532,-0.8073328089509992
hurricane_cat2,East,502233.0898309625,508455.6265795147,-6222.536748552229,-1.223811169209103
hurricane_cat2,South,375992.4024417878,380055.00612035504,-4062.6036785672186,-1.0689514973210699
hurricane_cat2,West,451568.8881207957,454813.2135112273,-3244.3253904315643,-0.7133313839729674
hurricane_cat2,Central Mountains,364806.6072243658,367656.2594499778,-2849.6522256119642,-0.7750860082934831
hurricane_cat2,North,349671.895344322,352053.00864563696,-2381.1133013149374,-0.6763507888982919
hurricane_cat3,Metro,898647.3769891663,911697.7486976217,-13050.371708455496,-1.431436210860256
hurricane_cat3,East,497727.20637016615,508455.6265795147,-10728.420209348551,-2.1100012761233136
hurricane_cat3,South,372966.10027068964,380055.00612035504,-7088.905849665403,-1.8652315416207157
hurricane_cat3,West,448985.89765284024,454813.2135112273,-5827.315858387039,-1.2812547404679107
hurricane_cat3,Central Mountains,362634.4472307103,367656.2594499778,-5021.812219267478,-1.3658987410632488
hurricane_cat3,North,347782.2109516248,352053.00864563696,-4270.797694012173,-1.213112113554182
hurricane_cat4,Metro,890070.8477616826,911697.7486976217,-21626.900935939164,-2.372156887173805
hurricane_cat4,East,491000.2286116672,508455.6265795147,-17455.39796784753,-3.433022874635801
hurricane_cat4,South,368348.8517062511,380055.00612035504,-11706.154414103949,-3.0801210944704325
hurricane_cat4,West,445230.1738545252,454813.2135112273,-9583.03965670208,-2.107027538342511
hurricane_cat4,Central Mountains,359254.0353752415,367656.2594499778,-8402.224074736296,-2.2853477558919346
hurricane_cat4,North,344787.4457207395,352053.00864563696,-7265.562924897473,-2.0637695876676085
hurricane_cat5_maria_like,Metro,878136.6994301679,911697.7486976217,-33561.04926745384,-3.6811596074901427
hurricane_cat5_maria_like,East,481487.34539817215,508455.6265795147,-26968.28118134255,-5.303959632183385
hurricane_cat5_maria_like,South,361672.15510169684,380055.00612035504,-18382.8510186582,-4.836892218921793
hurricane_cat5_maria_like,West,439451.3916627107,454813.2135112273,-15361.821848516585,-3.377611158198545
hurricane_cat5_maria_like,Central Mountains,354481.7238438195,367656.2594499778,-13174.535606158257,-3.583384008167756
hurricane_cat5_maria_like,North,340742.7151958328,352053.00864563696,-11310.293449804187,-3.212667743791019
